location,subplot,x,y,family,genus,species,max_diam,ba_m2,combined_diam,easting,northing,zone,AI_annual_min,AI_annual_mean,AI_annual_max,precip_annual_total,precip_annual_min,precip_annual_max,precip_season_SW,precip_season_SA,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh,leaf_area_cm2,max_height_m
high,1,1,24.5,Lauraceae,Cryptocarya,Cryptocarya obovata,20.817466556419912,0.03403655781974656,20.817466556419912,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.152160028940687,8.685838739798184,0.4396717555257599,-2.0059649999999998,0.5444562999153831,-1.7169463015410182,6.324555320336759,59.18502499999997,40.00000000000001
high,1,1.1,11.7,Meliaceae,Anthocarapa,Anthocarapa nitidula,37.94253843310785,0.11306876453066139,37.94253843310785,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.325223266202946,7.507116622693619,0.3630420092135332,NA,0.6946974580985681,-1.899337466086121,5.196152422706632,18.209554642857146,27
high,1,1.8,14.1,Sapindaceae,Diploglottis,Diploglottis australis,3.947042588679005,0.0012235832024904915,3.947042588679005,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,1.9590698390273003,9.035258301376947,0.5011859217132896,NA,0.5237437917771388,-2.3225964319402737,5.916079783099616,83.93881288555193,35
high,1,2.4,2.7,Sapindaceae,Guioa,Guioa semiglauca,29.73014336956605,0.06941988476793674,29.730143369566054,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285,8.022092499999998,17.999999999999996
high,1,3,17.4,Moraceae,Ficus,Ficus obliqua,151.19719593730056,1.7954667017554442,151.19719593730056,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.346014396369652,7.7290222566948925,0.28059568896066706,-1.7283375,0.521,-2.2744063058457105,7.0710678118654755,22.733783333333328,50.00000000000001
high,1,4.5,6.2,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,25.942255723978942,0.05285734603760709,25.942255723978942,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,4.7,16.5,Malvaceae,Argyrodendron,Argyrodendron trifoliolatum,17.507043740108486,0.024072185142649163,17.507043740108486,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.1224803317667025,7.366276182568228,0.5380170974403184,-2.406672,0.735,-1.9631134886557116,6.708203932499369,15.817327187500007,45.00000000000001
high,1,5.2,24.2,Lauraceae,Neolitsea,Neolitsea australiensis,4.329014452099553,0.0014718649137138483,4.329014452099553,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.4248173339485977,7.8184353002156985,0.48327851473404604,NA,0.5999787459115454,-1.8238606611103134,3.872983346207417,24.860125000000007,15.000000000000002
high,1,5.9,3.1,Rutaceae,Sarcomelicope,Sarcomelicope simplicifolia,27.852115041081685,0.0609265016523662,27.85211504108169,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.5770341346224335,7.407469397993409,0.2759706901234713,-2.06388,0.765,NA,4.242640687119285,16.482499999999995,17.999999999999996
high,1,6.5,20.1,Lauraceae,Cryptocarya,Cryptocarya obovata,5.920563883018507,0.0027530622056036055,5.920563883018507,359342,7027160,56,0.401703,1.13111,0.768125,965.4539795,38.111599,125.1360016,1.65185,-0.0626367,2.152160028940687,8.685838739798184,0.4396717555257599,-2.0059649999999998,0.5444562999153831,-1.7169463015410182,6.324555320336759,59.18502499999997,40.00000000000001
